C455,English Composition I,Not Completed,,
C768,Technical Communication,Not Completed,,
C464,Introduction to Communication,Not Completed,,
C100,Introduction to Humanities,Not Completed,,
C963,American Politics and the US Constitution,Not Completed,,
C955,Applied Probability & Statistics,Not Completed,,
C255,Introduction to Geography,Not Completed,,
C165,Integrated Physical Sciences,Not Completed,,
ID194,IT Leadership Foundations,Not Completed,,
C683,Natural Science Lab,Not Completed,,
C958,Calculus I,Not Completed,,
C182,Introduction to IT,Not Completed,,
C173,Scripting and Programming - Foundations,Completed,Sophia,Intro To Python Programming
C959,Discrete Mathematics I,Not Completed,,
C949,Data Structures and Algorithms I,Not Completed,,
C836,Fundamentals of Information Security,Not Completed,,
C172,Network and Security Foundations,Not Completed,,
C191,Operating Systems for Programmers,Not Completed,,
C170,Data Management - Applications,Not Completed,,
D191,Advanced Data Management,Not Completed,,
C952,Computer Architecture,Not Completed,,
C951,Introduction to Artificial Intelligence,Not Completed,,
C176,Business of IT - Project Management,Not Completed,,
C846,Business of IT - Applications,Not Completed,,
